query_id,page_id,region_id,condition,image_path,source_image_path,gold_bbox,mask_bbox,mask_area,random_iou_with_gold,image_w,image_h,mask_color,status
q006,doc002_p001,r1,Gold Mask,artifacts\occlusion_pages\q006_doc002_p001_gold_mask.png,data\images\doc002\doc002_p001.png,"[695, 710, 1219, 1013]","[695, 710, 1219, 1013]",158772,,2382,1684,"(255, 255, 255)",PASSED
q006,doc002_p001,r1,Random Mask,artifacts\occlusion_pages\q006_doc002_p001_random_mask.png,data\images\doc002\doc002_p001.png,"[695, 710, 1219, 1013]","[1508, 209, 2032, 512]",158772,0.000000,2382,1684,"(255, 255, 255)",PASSED
q007,doc002_p001,r1,Original,artifacts\occlusion_pages\q007_doc002_p001_original.png,data\images\doc002\doc002_p001.png,"[695, 710, 1219, 1013]",,0,,2382,1684,"(255, 255, 255)",PASSED
q007,doc002_p001,r1,Gold Mask,artifacts\occlusion_pages\q007_doc002_p001_gold_mask.png,data\images\doc002\doc002_p001.png,"[695, 710, 1219, 1013]","[695, 710, 1219, 1013]",158772,,2382,1684,"(255, 255, 255)",PASSED
q007,doc002_p001,r1,Random Mask,artifacts\occlusion_pages\q007_doc002_p001_random_mask.png,data\images\doc002\doc002_p001.png,"[695, 710, 1219, 1013]","[1385, 1116, 1909, 1419]",158772,0.000000,2382,1684,"(255, 255, 255)",PASSED
q008,doc003_p007,r1,Original,artifacts\occlusion_pages\q008_doc003_p007_original.png,data\images\doc003\doc003_p007.png,"[431, 642, 764, 1012]",,0,,1191,1684,"(255, 255, 255)",PASSED
q008,doc003_p007,r1,Gold Mask,artifacts\occlusion_pages\q008_doc003_p007_gold_mask.png,data\images\doc003\doc003_p007.png,"[431, 642, 764, 1012]","[431, 642, 764, 1012]",123210,,1191,1684,"(255, 255, 255)",PASSED
q008,doc003_p007,r1,Random Mask,artifacts\occlusion_pages\q008_doc003_p007_random_mask.png,data\images\doc003\doc003_p007.png,"[431, 642, 764, 1012]","[89, 1209, 422, 1579]",123210,0.000000,1191,1684,"(255, 255, 255)",PASSED
q009,doc003_p008,r1,Original,artifacts\occlusion_pages\q009_doc003_p008_original.png,data\images\doc003\doc003_p008.png,"[451, 770, 713, 1073]",,0,,1191,1684,"(255, 255, 255)",PASSED
q009,doc003_p008,r1,Gold Mask,artifacts\occlusion_pages\q009_doc003_p008_gold_mask.png,data\images\doc003\doc003_p008.png,"[451, 770, 713, 1073]","[451, 770, 713, 1073]",79386,,1191,1684,"(255, 255, 255)",PASSED
q009,doc003_p008,r1,Random Mask,artifacts\occlusion_pages\q009_doc003_p008_random_mask.png,data\images\doc003\doc003_p008.png,"[451, 770, 713, 1073]","[432, 65, 694, 368]",79386,0.000000,1191,1684,"(255, 255, 255)",PASSED
q010,doc003_p009,r1,Original,artifacts\occlusion_pages\q010_doc003_p009_original.png,data\images\doc003\doc003_p009.png,"[431, 420, 764, 790]",,0,,1191,1684,"(255, 255, 255)",PASSED
q010,doc003_p009,r1,Gold Mask,artifacts\occlusion_pages\q010_doc003_p009_gold_mask.png,data\images\doc003\doc003_p009.png,"[431, 420, 764, 790]","[431, 420, 764, 790]",123210,,1191,1684,"(255, 255, 255)",PASSED
q010,doc003_p009,r1,Random Mask,artifacts\occlusion_pages\q010_doc003_p009_random_mask.png,data\images\doc003\doc003_p009.png,"[431, 420, 764, 790]","[30, 191, 363, 561]",123210,0.000000,1191,1684,"(255, 255, 255)",PASSED
q011,doc003_p010,r1,Original,artifacts\occlusion_pages\q011_doc003_p010_original.png,data\images\doc003\doc003_p010.png,"[431, 642, 764, 1012]",,0,,1191,1684,"(255, 255, 255)",PASSED
q011,doc003_p010,r1,Gold Mask,artifacts\occlusion_pages\q011_doc003_p010_gold_mask.png,data\images\doc003\doc003_p010.png,"[431, 642, 764, 1012]","[431, 642, 764, 1012]",123210,,1191,1684,"(255, 255, 255)",PASSED
q011,doc003_p010,r1,Random Mask,artifacts\occlusion_pages\q011_doc003_p010_random_mask.png,data\images\doc003\doc003_p010.png,"[431, 642, 764, 1012]","[517, 1232, 850, 1602]",123210,0.000000,1191,1684,"(255, 255, 255)",PASSED
q012,doc003_p011,r1,Original,artifacts\occlusion_pages\q012_doc003_p011_original.png,data\images\doc003\doc003_p011.png,"[431, 642, 764, 1012]",,0,,1191,1684,"(255, 255, 255)",PASSED
q012,doc003_p011,r1,Gold Mask,artifacts\occlusion_pages\q012_doc003_p011_gold_mask.png,data\images\doc003\doc003_p011.png,"[431, 642, 764, 1012]","[431, 642, 764, 1012]",123210,,1191,1684,"(255, 255, 255)",PASSED
q012,doc003_p011,r1,Random Mask,artifacts\occlusion_pages\q012_doc003_p011_random_mask.png,data\images\doc003\doc003_p011.png,"[431, 642, 764, 1012]","[27, 1149, 360, 1519]",123210,0.000000,1191,1684,"(255, 255, 255)",PASSED
