query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,page_tokens_before,page_tokens_after
q005,doc006_p011,4,8.73971900,14,-0.24471284,49,8
q005,doc006_p019,2,10.53370100,15,-0.31449616,49,8
q005,doc006_p026,1,12.23456400,16,-0.32959977,49,8
q005,doc007_p002,5,8.02633200,17,-0.47152278,49,8
q005,doc001_p001,6,7.82208200,18,-0.52642637,49,8
q005,doc001_p005,16,5.71221300,19,-0.56644899,49,8
q005,doc002_p001,19,5.38728100,20,-0.59342515,49,8
q006,doc006_p013,6,7.74352900,1,0.36079800,49,8
q006,doc004_p003,5,8.15344600,2,0.33611381,49,8
q006,doc004_p009,19,6.76421200,3,0.32399744,49,8
q006,doc004_p019,11,7.46032800,4,0.27715823,49,8
q006,doc006_p016,16,6.92899800,5,0.26582259,49,8
q006,doc010_p002,14,7.00748000,6,0.22495706,49,8
q006,doc003_p028,15,6.99705800,7,0.19501951,49,8
q006,doc004_p011,2,9.77296300,8,0.19331206,49,8
q006,doc004_p010,9,7.53333700,9,0.18344866,49,8
q006,doc009_p003,7,7.66481400,10,0.14493659,49,8
q006,doc003_p001,18,6.77058900,11,0.07890870,49,8
q006,doc006_p003,17,6.90773100,12,-0.00612558,49,8
q006,doc008_p003,3,9.19338600,13,-0.10352603,49,8
q006,doc006_p009,20,6.50774900,14,-0.14297764,49,8
q006,doc005_p009,13,7.12011600,15,-0.16423045,49,8
q006,doc006_p006,12,7.21537200,16,-0.18091847,49,8
q006,doc006_p019,4,8.26248200,17,-0.31171682,49,8
q006,doc008_p001,10,7.50461300,18,-0.41732913,49,8
q006,doc004_p014,8,7.61101100,19,-0.67828339,49,8
q006,doc002_p001,1,11.90010800,20,-0.70606118,49,8
q007,doc004_p019,15,8.14360000,1,0.35800615,49,8
q007,doc006_p013,6,9.62721400,2,0.24133304,49,8
q007,doc004_p003,19,7.75285800,3,0.21208262,49,8
q007,doc006_p008,5,9.81867700,4,0.20170343,49,8
q007,doc009_p003,17,7.99154700,5,0.17973945,49,8
q007,doc006_p016,8,8.78106700,6,0.16915911,49,8
q007,doc005_p004,18,7.97847600,7,0.15679985,49,8
q007,doc006_p002,14,8.16777000,8,0.08264391,49,8
q007,doc010_p002,9,8.73311000,9,0.01459792,49,8
q007,doc006_p003,13,8.26754700,10,-0.00700988,49,8
q007,doc006_p005,4,9.97927800,11,-0.01118322,49,8
q007,doc005_p009,10,8.71052700,12,-0.15921991,49,8
q007,doc006_p009,7,9.12213800,13,-0.16907519,49,8
q007,doc006_p006,11,8.49102500,14,-0.16969427,49,8
q007,doc006_p019,1,17.41773700,15,-0.22617778,49,8
q007,doc007_p002,20,7.30911800,16,-0.34071338,49,8
q007,doc001_p001,12,8.46111900,17,-0.37722722,49,8
q007,doc004_p014,16,7.99516500,18,-0.43447739,49,8
q007,doc002_p001,2,13.48620900,19,-0.47585845,49,8
q007,doc005_p008,3,13.29842900,20,-0.61366117,49,8
q008,doc003_p007,1,20.22260600,1,0.55040222,49,8
q008,doc003_p022,4,13.61283900,2,0.50313675,49,8
q008,doc003_p004,5,9.30020900,3,0.44492346,49,8
q008,doc010_p002,17,5.66062600,4,0.44315150,49,8
q008,doc006_p013,8,8.60126400,5,0.42732903,49,8
q008,doc003_p008,2,18.08574500,6,0.41470876,49,8
q008,doc006_p016,19,5.29084000,7,0.40978247,49,8
q008,doc003_p003,15,6.92917700,8,0.31281361,49,8
q008,doc005_p001,20,5.25160300,9,0.29485783,49,8
q008,doc003_p019,13,7.94956900,10,0.14095673,49,8
q008,doc006_p009,14,7.66040700,11,0.03006882,49,8
q008,doc006_p006,18,5.37004500,12,-0.00941574,49,8
q008,doc005_p006,16,5.74396300,13,-0.04037665,49,8
q008,doc006_p019,6,9.29413000,14,-0.06796355,49,8
q008,doc003_p029,3,17.10521700,15,-0.10908837,49,8
q008,doc006_p011,7,8.79135200,16,-0.17837386,49,8
q008,doc003_p014,11,7.94956900,17,-0.26400858,49,8
q008,doc003_p012,10,7.94956900,18,-0.29069152,49,8
q008,doc003_p016,12,7.94956900,19,-0.40033337,49,8
q008,doc003_p010,9,8.32947300,20,-0.57251704,49,8
q009,doc003_p007,2,17.98542700,1,0.62110317,49,8
q009,doc003_p022,4,11.00500900,2,0.57907003,49,8
q009,doc003_p004,15,7.08633800,3,0.56656295,49,8
q009,doc006_p013,10,8.60126400,4,0.52339047,49,8
q009,doc010_p002,17,5.66062600,5,0.52181435,49,8
q009,doc003_p008,1,20.46951300,6,0.49904209,49,8
q009,doc006_p016,19,5.29084000,7,0.48742640,49,8
q009,doc003_p003,14,7.13063900,8,0.43222141,49,8
q009,doc005_p001,20,5.25160300,9,0.41064915,49,8
q009,doc003_p020,12,8.29345400,10,0.17253612,49,8
q009,doc006_p009,13,7.66040700,11,0.07244997,49,8
q009,doc006_p019,5,9.29413000,12,0.06862941,49,8
q009,doc006_p006,18,5.37004500,13,0.05444190,49,8
q009,doc005_p006,16,5.74396300,14,0.00499278,49,8
q009,doc003_p013,8,8.66331400,15,-0.03786839,49,8
q009,doc003_p017,9,8.66331400,16,-0.05261867,49,8
q009,doc003_p029,3,17.55199000,17,-0.06938879,49,8
q009,doc006_p011,6,8.79135200,18,-0.11094639,49,8
q009,doc003_p015,11,8.29345400,19,-0.38061774,49,8
q009,doc003_p011,7,8.66331400,20,-0.39620745,49,8
q010,doc004_p010,17,7.58141000,1,0.59085399,49,8
q010,doc006_p013,9,10.39885700,2,0.44104105,49,8
q010,doc004_p016,2,14.72899300,3,0.40266836,49,8
q010,doc003_p009,3,13.19011200,4,0.38688058,49,8
q010,doc010_p002,20,7.00748000,5,0.37562120,49,8
q010,doc005_p001,15,7.83346600,6,0.32572594,49,8
q010,doc004_p020,6,11.69692900,7,0.26788548,49,8
q010,doc006_p007,5,11.77228100,8,0.23572841,49,8
q010,doc006_p009,16,7.66040700,9,0.03249991,49,8
q010,doc003_p029,19,7.04785400,10,-0.00969257,49,8
q010,doc006_p006,11,9.82467800,11,-0.02393477,49,8
q010,doc004_p015,12,9.37148800,12,-0.03552862,49,8
q010,doc006_p026,4,12.67405500,13,-0.08273551,49,8
q010,doc006_p019,1,18.57466200,14,-0.08506377,49,8
q010,doc005_p009,13,8.03741900,15,-0.13063630,49,8
q010,doc005_p006,18,7.14786500,16,-0.14016670,49,8
q010,doc006_p011,10,10.15773000,17,-0.14219722,49,8
q010,doc007_p002,14,8.02633200,18,-0.28413606,49,8
q010,doc002_p001,8,10.67486300,19,-0.56098282,49,8
q010,doc001_p004,7,11.36885800,20,-0.74237603,49,8
q011,doc005_p004,7,11.87437400,1,0.78521419,49,8
q011,doc004_p010,8,11.32723800,2,0.60441530,49,8
q011,doc003_p004,4,13.67931300,3,0.58012784,49,8
q011,doc006_p013,20,9.39821500,4,0.53524327,49,8
q011,doc005_p001,18,9.64107000,5,0.47940040,49,8
q011,doc006_p003,14,11.00130000,6,0.44680464,49,8
q011,doc003_p003,9,11.28724000,7,0.38469252,49,8
q011,doc003_p022,19,9.62110200,8,0.34254944,49,8
q011,doc005_p009,17,10.39891800,9,0.11834787,49,8
q011,doc003_p019,13,11.25001500,10,0.02863136,49,8
q011,doc003_p029,1,17.42948800,11,-0.00927991,49,8
q011,doc006_p019,6,12.34209900,12,-0.02661285,49,8
q011,doc005_p006,15,10.99892900,13,-0.15934831,49,8
q011,doc003_p012,10,11.25001500,14,-0.25856522,49,8
q011,doc003_p014,11,11.25001500,15,-0.32936174,49,8
q011,doc003_p016,12,11.25001500,16,-0.39053071,49,8
q011,doc003_p011,5,12.56398800,17,-0.49158466,49,8
q011,doc002_p001,3,15.08507200,18,-0.58077657,49,8
q011,doc010_p001,16,10.51996200,19,-0.66401994,49,8
q011,doc003_p010,2,15.66685400,20,-0.87479854,49,8
q012,doc005_p004,8,11.87437400,1,0.73604608,49,8
q012,doc003_p004,12,11.46544200,2,0.50608677,49,8
q012,doc004_p010,13,11.32723800,3,0.49731916,49,8
q012,doc006_p013,19,9.39821500,4,0.44113594,49,8
q012,doc003_p009,20,9.17015300,5,0.39547777,49,8
q012,doc005_p001,18,9.64107000,6,0.38171840,49,8
q012,doc006_p003,14,11.00130000,7,0.35184190,49,8
q012,doc003_p003,11,11.48870200,8,0.29050663,49,8
q012,doc003_p020,10,11.59389900,9,0.10123393,49,8
q012,doc005_p009,17,10.39891800,10,-0.00653945,49,8
q012,doc006_p019,5,12.34209900,11,-0.11235563,49,8
q012,doc003_p029,1,17.87626100,12,-0.14102867,49,8
q012,doc003_p017,7,11.89481900,13,-0.19801071,49,8
q012,doc005_p006,15,10.99892900,14,-0.23493160,49,8
q012,doc003_p013,6,11.89481900,15,-0.49135435,49,8
q012,doc003_p011,2,16.00069600,16,-0.63672400,49,8
q012,doc002_p001,3,15.08507200,17,-0.73534691,49,8
q012,doc003_p015,9,11.59389900,18,-0.74007910,49,8
q012,doc010_p001,16,10.51996200,19,-0.76337665,49,8
q012,doc003_p010,4,12.56398800,20,-1.04155195,49,8
q013,doc004_p010,15,7.65908800,1,0.37523994,49,8
q013,doc006_p013,5,10.35061100,2,0.35027376,49,8
q013,doc003_p004,11,8.78343300,3,0.32806504,49,8
q013,doc010_p002,12,8.77777300,4,0.26151928,49,8
q013,doc003_p022,13,8.46433300,5,0.23387368,49,8
q013,doc006_p010,19,7.40988500,6,0.22521482,49,8
q013,doc003_p003,9,9.83942600,7,0.19272241,49,8
q013,doc006_p003,20,7.31226100,8,0.16920945,49,8
q013,doc006_p009,18,7.60517000,9,0.01039374,49,8
q013,doc003_p017,17,7.65497500,10,-0.04193544,49,8
q013,doc003_p019,8,9.91729600,11,-0.05833434,49,8
q013,doc003_p029,1,16.85439600,12,-0.10737028,49,8
q013,doc006_p019,14,8.26248200,13,-0.16513021,49,8
q013,doc006_p011,10,9.50516400,14,-0.20857707,49,8
q013,doc003_p013,3,12.06323300,15,-0.27410561,49,8
q013,doc003_p014,6,9.91729600,16,-0.33832911,49,8
q013,doc003_p012,2,14.45816600,17,-0.42614073,49,8
q013,doc003_p011,16,7.65497500,18,-0.43559781,49,8
q013,doc003_p016,7,9.91729600,19,-0.45008528,49,8
q013,doc003_p010,4,10.75784100,20,-0.71655190,49,8
q014,doc004_p019,18,7.15969900,1,0.24934502,49,8
q014,doc006_p013,6,10.35061100,2,0.18150857,49,8
q014,doc004_p010,13,7.65908800,3,0.16641846,49,8
q014,doc010_p002,11,8.77777300,4,0.09621201,49,8
q014,doc006_p010,16,7.40988500,5,0.07226237,49,8
q014,doc003_p003,9,10.04088900,6,0.01864362,49,8
q014,doc006_p003,17,7.31226100,7,-0.03877762,49,8
q014,doc005_p009,19,7.08172700,8,-0.15153459,49,8
q014,doc003_p020,8,10.26118100,9,-0.17475116,49,8
q014,doc006_p009,15,7.60517000,10,-0.22580254,49,8
q014,doc003_p017,5,11.09168300,11,-0.27773088,49,8
q014,doc006_p011,10,9.50516400,12,-0.31586620,49,8
q014,doc003_p013,2,15.49994100,13,-0.33606184,49,8
q014,doc003_p029,1,17.30116900,14,-0.37198180,49,8
q014,doc006_p019,12,8.26248200,15,-0.37343070,49,8
q014,doc003_p015,7,10.26118100,16,-0.51918995,49,8
q014,doc007_p002,20,7.02188800,17,-0.61476916,49,8
q014,doc003_p012,3,11.26195700,18,-0.68034440,49,8
q014,doc003_p011,4,11.09168300,19,-0.72086960,49,8
q014,doc003_p010,14,7.65497500,20,-1.07465672,49,8
q015,doc004_p010,9,11.32723800,1,0.64460307,49,8
q015,doc003_p004,15,10.53405500,2,0.61114323,49,8
q015,doc006_p013,7,12.14820400,3,0.58216828,49,8
q015,doc005_p001,18,9.64107000,4,0.52102309,49,8
q015,doc003_p003,10,11.28724000,5,0.42817441,49,8
q015,doc003_p006,4,12.36978100,6,0.41483209,49,8
q015,doc003_p022,19,9.62110200,7,0.39453951,49,8
q015,doc003_p019,13,11.25001500,8,0.06117392,49,8
q015,doc003_p029,1,17.42948800,9,-0.03879938,49,8
q015,doc005_p009,17,10.39891800,10,-0.05646478,49,8
q015,doc006_p019,5,12.34209900,11,-0.07641390,49,8
q015,doc006_p011,14,10.87154200,12,-0.18443415,49,8
q015,doc005_p006,20,9.54390800,13,-0.22952665,49,8
q015,doc003_p014,2,15.47940700,14,-0.27242431,49,8
q015,doc003_p012,11,11.25001500,15,-0.31763378,49,8
q015,doc003_p016,12,11.25001500,16,-0.36907458,49,8
q015,doc002_p001,3,15.08507200,17,-0.68058926,49,8
q015,doc003_p015,6,12.28319900,18,-0.69589627,49,8
q015,doc010_p001,16,10.51996200,19,-0.70815635,49,8
q015,doc003_p010,8,11.56097700,20,-0.98248714,49,8
q016,doc004_p010,13,11.32723800,1,0.58322519,49,8
q016,doc004_p019,19,9.16508000,2,0.57433373,49,8
q016,doc006_p013,7,12.14820400,3,0.53765732,49,8
q016,doc005_p001,17,9.64107000,4,0.49448743,49,8
q016,doc003_p006,4,12.36978100,5,0.40214542,49,8
q016,doc003_p003,12,11.48870200,6,0.40080509,49,8
q016,doc006_p003,20,9.14044600,7,0.29981691,49,8
q016,doc003_p020,11,11.59389900,8,0.03889288,49,8
q016,doc006_p019,5,12.34209900,9,-0.10362715,49,8
q016,doc003_p029,1,17.87626100,10,-0.11788876,49,8
q016,doc005_p009,16,10.39891800,11,-0.18905917,49,8
q016,doc006_p011,14,10.87154200,12,-0.19415095,49,8
q016,doc003_p017,10,11.89481900,13,-0.26745996,49,8
q016,doc003_p014,6,12.28319900,14,-0.29716045,49,8
q016,doc005_p006,18,9.54390800,15,-0.33913267,49,8
q016,doc003_p013,9,11.89481900,16,-0.41519058,49,8
q016,doc003_p015,2,15.82329200,17,-0.73031443,49,8
q016,doc003_p011,8,11.89481900,18,-0.73139930,49,8
q016,doc010_p001,15,10.51996200,19,-0.81251872,49,8
q016,doc002_p001,3,15.08507200,20,-0.84445769,49,8
q017,doc003_p004,8,10.53480500,1,0.44270557,49,8
q017,doc004_p018,19,6.92817500,2,0.40843189,49,8
q017,doc010_p002,11,8.77777300,3,0.38946027,49,8
q017,doc003_p022,20,6.90305700,4,0.28677231,49,8
q017,doc006_p003,16,7.34493100,5,0.16275766,49,8
q017,doc003_p019,10,9.91729600,6,0.16193190,49,8
q017,doc006_p004,17,7.26100900,7,0.15617752,49,8
q017,doc003_p017,5,12.06323300,8,0.11192235,49,8
q017,doc003_p003,4,12.31718600,9,0.10321990,49,8
q017,doc006_p009,15,7.60517000,10,-0.10471379,49,8
q017,doc003_p029,1,18.64791100,11,-0.15007548,49,8
q017,doc006_p019,12,8.26248200,12,-0.27430943,49,8
q017,doc003_p014,3,14.14668900,13,-0.34790790,49,8
q017,doc003_p013,14,7.65497500,14,-0.43881366,49,8
q017,doc003_p011,13,7.65497500,15,-0.44476926,49,8
q017,doc003_p012,9,9.91729600,16,-0.45647144,49,8
q017,doc003_p016,2,14.45816600,17,-0.54632217,49,8
q017,doc003_p015,6,10.95048000,18,-0.54740679,49,8
q017,doc007_p002,18,7.02188800,19,-0.57785064,49,8
q017,doc003_p010,7,10.75784100,20,-0.91393322,49,8
q018,doc003_p004,8,12.92270800,1,0.59042591,49,8
q018,doc010_p002,15,8.77777300,2,0.48798716,49,8
q018,doc003_p022,14,8.88474700,3,0.45409966,49,8
q018,doc003_p020,10,12.68997900,4,0.32650617,49,8
q018,doc006_p004,19,7.26100900,5,0.31061569,49,8
q018,doc003_p008,20,7.06440000,6,0.28188798,49,8
q018,doc003_p003,6,13.33625900,7,0.26556259,49,8
q018,doc006_p003,18,7.34493100,8,0.25687611,49,8
q018,doc003_p019,13,12.34609500,9,0.15496236,49,8
q018,doc003_p017,2,17.85780900,10,0.06224043,49,8
q018,doc006_p009,17,7.60517000,11,0.02220223,49,8
q018,doc006_p019,16,8.26248200,12,-0.05815876,49,8
q018,doc003_p029,1,22.91883100,13,-0.14373116,49,8
q018,doc003_p013,5,13.44955100,14,-0.23790093,49,8
q018,doc003_p014,12,12.34609500,15,-0.28812453,49,8
q018,doc003_p012,11,12.34609500,16,-0.30007648,49,8
q018,doc003_p016,3,16.88696400,17,-0.39592499,49,8
q018,doc003_p015,9,12.68997900,18,-0.47762415,49,8
q018,doc003_p011,4,13.44955100,19,-0.50728023,49,8
q018,doc003_p010,7,13.11570900,20,-0.96500719,49,8
q019,doc003_p007,4,13.19295000,1,0.54394251,49,8
q019,doc003_p004,7,12.54174200,2,0.52474993,49,8
q019,doc003_p022,6,12.67014500,3,0.50263047,49,8
q019,doc006_p013,2,15.91038500,4,0.49369580,49,8
q019,doc006_p016,12,8.84723900,5,0.48269394,49,8
q019,doc003_p008,3,14.40199600,6,0.41685808,49,8
q019,doc003_p003,5,12.68866800,7,0.27449909,49,8
q019,doc003_p020,8,12.36507700,8,0.09959519,49,8
q019,doc003_p019,9,12.02119300,9,-0.01006728,49,8
q019,doc003_p018,10,11.10428100,10,-0.07774151,49,8
q019,doc006_p019,11,11.10252800,11,-0.18236411,49,8
q019,doc003_p017,17,8.15244400,12,-0.26057649,49,8
q019,doc003_p029,1,25.85552400,13,-0.35266194,49,8
q019,doc006_p011,13,8.73971900,14,-0.41245234,49,8
q019,doc003_p012,18,8.05380600,15,-0.50613374,49,8
q019,doc003_p014,19,8.05380600,16,-0.51735562,49,8
q019,doc003_p011,15,8.15244400,17,-0.53118855,49,8
q019,doc003_p013,16,8.15244400,18,-0.60573667,49,8
q019,doc003_p016,20,8.05380600,19,-0.66906083,49,8
q019,doc003_p015,14,8.39769100,20,-0.91635859,49,8
q020,doc004_p010,17,5.47649200,1,0.71345764,49,8
q020,doc005_p004,6,7.03630600,2,0.70780927,49,8
q020,doc003_p020,8,6.39618500,3,0.60480106,49,8
q020,doc010_p002,13,5.66062600,4,0.58548272,49,8
q020,doc003_p009,19,5.28720000,5,0.57556266,49,8
q020,doc003_p004,2,10.89154100,6,0.56536627,49,8
q020,doc003_p006,12,5.73497400,7,0.56206709,49,8
q020,doc003_p022,11,5.74628900,8,0.50170469,49,8
q020,doc003_p003,5,7.56154600,9,0.42753929,49,8
q020,doc003_p019,3,9.59239400,10,0.42133698,49,8
q020,doc006_p009,9,6.14343900,11,0.24010326,49,8
q020,doc006_p019,4,8.72530300,12,0.18932843,49,8
q020,doc003_p029,1,13.40445000,13,0.15928608,49,8
q020,doc005_p006,10,6.12932600,14,0.02725080,49,8
q020,doc003_p014,15,5.62500700,15,0.01365775,49,8
q020,doc003_p012,14,5.62500700,16,-0.01805481,49,8
q020,doc003_p016,16,5.62500700,17,-0.10055964,49,8
q020,doc007_p002,7,6.94890000,18,-0.12383581,49,8
q020,doc010_p001,20,5.20935100,19,-0.25307259,49,8
q020,doc003_p010,18,5.46073400,20,-0.43049666,49,8
q021,doc005_p004,6,7.03630600,1,0.61557466,49,8
q021,doc004_p010,17,5.47649200,2,0.58604652,49,8
q021,doc003_p004,4,8.67766900,3,0.48538679,49,8
q021,doc010_p002,16,5.66062600,4,0.45050859,49,8
q021,doc003_p009,18,5.28720000,5,0.43848836,49,8
q021,doc003_p006,15,5.73497400,6,0.43309388,49,8
q021,doc003_p020,2,9.93627900,7,0.39463639,49,8
q021,doc003_p003,5,7.76300800,8,0.31599727,49,8
q021,doc006_p003,20,5.14663700,9,0.31231573,49,8
q021,doc003_p019,8,6.39618500,10,0.25253806,49,8
q021,doc003_p017,14,5.79457600,11,0.10861826,49,8
q021,doc006_p009,9,6.14343900,12,0.07013835,49,8
q021,doc006_p019,3,8.72530300,13,0.05674540,49,8
q021,doc003_p029,1,13.85122300,14,-0.04021728,49,8
q021,doc003_p013,13,5.79457600,15,-0.16997734,49,8
q021,doc005_p006,10,6.12932600,16,-0.19017957,49,8
q021,doc007_p002,7,6.94890000,17,-0.29264691,49,8
q021,doc003_p011,12,5.79457600,18,-0.35093784,49,8
q021,doc003_p015,11,5.96889200,19,-0.35715398,49,8
q021,doc010_p001,19,5.20935100,20,-0.50276542,49,8
q022,doc004_p019,20,4.22575700,1,0.38634598,49,8
q022,doc003_p026,10,6.23359500,2,0.28453970,49,8
q022,doc006_p013,5,8.41818700,3,0.27750951,49,8
q022,doc006_p016,19,4.31206200,4,0.23431176,49,8
q022,doc003_p025,11,6.16568700,5,0.22699343,49,8
q022,doc010_p002,14,5.66062600,6,0.20573388,49,8
q022,doc003_p022,3,10.72102900,7,0.19674672,49,8
q022,doc003_p006,2,10.88195300,8,0.11535817,49,8
q022,doc003_p024,13,6.12564800,9,-0.12847207,49,8
q022,doc003_p023,9,6.23359500,10,-0.16947155,49,8
q022,doc006_p011,6,7.37334100,11,-0.19293743,49,8
q022,doc003_p029,1,13.30248400,12,-0.20866750,49,8
q022,doc004_p015,17,4.55900700,13,-0.21442732,49,8
q022,doc006_p009,12,6.14343900,14,-0.21985069,49,8
q022,doc005_p009,16,4.61154800,15,-0.29133362,49,8
q022,doc006_p019,7,6.45408400,16,-0.29478979,49,8
q022,doc005_p006,15,5.46510700,17,-0.42597464,49,8
q022,doc007_p002,18,4.52828800,18,-0.59246773,49,8
q022,doc003_p027,8,6.38838700,19,-0.63302070,49,8
q022,doc004_p014,4,9.73059500,20,-0.80194771,49,8
q023,doc004_p019,20,4.22575700,1,0.27352369,49,8
q023,doc003_p026,10,6.23359500,2,0.20410976,49,8
q023,doc006_p013,5,8.41818700,3,0.16115341,49,8
q023,doc003_p025,11,6.16568700,4,0.13889705,49,8
q023,doc006_p016,19,4.31206200,5,0.11453380,49,8
q023,doc003_p022,3,10.72102900,6,0.11276269,49,8
q023,doc010_p002,14,5.66062600,7,0.11213516,49,8
q023,doc003_p006,2,10.88195300,8,-0.00819444,49,8
q023,doc006_p011,6,7.37334100,9,-0.19960806,49,8
q023,doc003_p024,13,6.12564800,10,-0.24172647,49,8
q023,doc004_p015,17,4.55900700,11,-0.26231486,49,8
q023,doc003_p023,9,6.23359500,12,-0.30802211,49,8
q023,doc006_p009,12,6.14343900,13,-0.31967899,49,8
q023,doc003_p029,1,13.30248400,14,-0.33193830,49,8
q023,doc005_p009,16,4.61154800,15,-0.37238359,49,8
