Method,query_id,gold_page_id,region_id,gold_bbox,patch_rank,patch_index,patch_score,patch_bbox,patch_center_x,patch_center_y,center_hit,iou,iou_hit,region_hit,image_w,image_h,image_path
Full MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",3,46,0.11516964,"[1361.1429, 1443.4286, 1701.4286, 1684.0]",1531.2857,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",4,7,0.11062500,"[0.0, 240.5714, 340.2857, 481.1429]",170.1429,360.8571,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",5,32,0.10563827,"[1361.1429, 962.2857, 1701.4286, 1202.8571]",1531.2857,1082.5714,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",1,47,0.14028791,"[1701.4286, 1443.4286, 2041.7143, 1684.0]",1871.5714,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",2,23,0.11629902,"[680.5714, 721.7143, 1020.8571, 962.2857]",850.7143,842.0000,1,0.483176,1,1,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",3,46,0.11516964,"[1361.1429, 1443.4286, 1701.4286, 1684.0]",1531.2857,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",4,7,0.11062500,"[0.0, 240.5714, 340.2857, 481.1429]",170.1429,360.8571,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",5,32,0.10563827,"[1361.1429, 962.2857, 1701.4286, 1202.8571]",1531.2857,1082.5714,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",1,11,0.09392157,"[680.5714, 240.5714, 850.7143, 481.1429]",765.6429,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p007.png
Full MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",2,23,0.07764706,"[340.2857, 721.7143, 510.4286, 962.2857]",425.3571,842.0000,0,0.131751,0,0,1191,1684,data\images\doc003\doc003_p007.png
Full MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",3,22,0.07414216,"[170.1429, 721.7143, 340.2857, 962.2857]",255.2143,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p007.png
Full MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",4,24,0.06069688,"[510.4286, 721.7143, 680.5714, 962.2857]",595.5000,842.0000,1,0.332209,1,1,1191,1684,data\images\doc003\doc003_p007.png
Full MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",5,10,0.06042885,"[510.4286, 240.5714, 680.5714, 481.1429]",595.5000,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p007.png
Full MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",1,11,0.09416667,"[680.5714, 240.5714, 850.7143, 481.1429]",765.6429,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p008.png
Full MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",2,30,0.08059556,"[340.2857, 962.2857, 510.4286, 1202.8571]",425.3571,1082.5714,0,0.057849,0,0,1191,1684,data\images\doc003\doc003_p008.png
Full MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",3,23,0.07311275,"[340.2857, 721.7143, 510.4286, 962.2857]",425.3571,842.0000,0,0.104943,0,0,1191,1684,data\images\doc003\doc003_p008.png
Full MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",4,25,0.07156863,"[680.5714, 721.7143, 850.7143, 962.2857]",765.6429,842.0000,0,0.054659,0,0,1191,1684,data\images\doc003\doc003_p008.png
Full MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",5,22,0.07122549,"[170.1429, 721.7143, 340.2857, 962.2857]",255.2143,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p008.png
Full MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",1,9,0.10122549,"[340.2857, 240.5714, 510.4286, 481.1429]",425.3571,360.8571,0,0.030489,0,0,1191,1684,data\images\doc003\doc003_p009.png
Full MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",2,19,0.08918721,"[850.7143, 481.1429, 1020.8571, 721.7143]",935.7857,601.4286,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p009.png
Full MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",3,18,0.08894313,"[680.5714, 481.1429, 850.7143, 721.7143]",765.6429,601.4286,0,0.139310,0,0,1191,1684,data\images\doc003\doc003_p009.png
Full MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",4,15,0.08496461,"[170.1429, 481.1429, 340.2857, 721.7143]",255.2143,601.4286,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p009.png
Full MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",5,17,0.08223533,"[510.4286, 481.1429, 680.5714, 721.7143]",595.5000,601.4286,1,0.332209,1,1,1191,1684,data\images\doc003\doc003_p009.png
Full MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",1,10,0.07955653,"[510.4286, 240.5714, 680.5714, 481.1429]",595.5000,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Full MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",2,25,0.07899510,"[680.5714, 721.7143, 850.7143, 962.2857]",765.6429,842.0000,0,0.139310,0,0,1191,1684,data\images\doc003\doc003_p010.png
Full MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",3,26,0.06291667,"[850.7143, 721.7143, 1020.8571, 962.2857]",935.7857,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Full MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",4,11,0.06044118,"[680.5714, 240.5714, 850.7143, 481.1429]",765.6429,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Full MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",5,45,0.05474266,"[510.4286, 1443.4286, 680.5714, 1684.0]",595.5000,1563.7143,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Full MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",1,10,0.07938597,"[510.4286, 240.5714, 680.5714, 481.1429]",595.5000,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
Full MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",2,25,0.07875000,"[680.5714, 721.7143, 850.7143, 962.2857]",765.6429,842.0000,0,0.139310,0,0,1191,1684,data\images\doc003\doc003_p011.png
Full MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",3,26,0.05571079,"[850.7143, 721.7143, 1020.8571, 962.2857]",935.7857,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
Full MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",4,45,0.05299556,"[510.4286, 1443.4286, 680.5714, 1684.0]",595.5000,1563.7143,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
Full MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",5,1,0.05191604,"[170.1429, 0.0, 340.2857, 240.5714]",255.2143,120.2857,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",1,9,0.10643489,"[452.0, 350.0, 678.0, 700.0]",565.0000,525.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",2,10,0.10625790,"[678.0, 350.0, 904.0, 700.0]",791.0000,525.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",3,47,0.09896334,"[1130.0, 2100.0, 1356.0, 2450.0]",1243.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",4,22,0.09557522,"[226.0, 1050.0, 452.0, 1400.0]",339.0000,1225.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",5,3,0.09295828,"[678.0, 0.0, 904.0, 350.0]",791.0000,175.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",1,47,0.09896334,"[1130.0, 2100.0, 1356.0, 2450.0]",1243.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",2,45,0.08829330,"[678.0, 2100.0, 904.0, 2450.0]",791.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",3,46,0.08509482,"[904.0, 2100.0, 1130.0, 2450.0]",1017.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",4,43,0.08241466,"[226.0, 2100.0, 452.0, 2450.0]",339.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",5,44,0.07025284,"[452.0, 2100.0, 678.0, 2450.0]",565.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",1,45,0.11125158,"[1050.0, 1356.0, 1400.0, 1582.0]",1225.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",2,47,0.09383059,"[1750.0, 1356.0, 2100.0, 1582.0]",1925.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",3,48,0.08605563,"[2100.0, 1356.0, 2450.0, 1582.0]",2275.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",4,46,0.08565108,"[1400.0, 1356.0, 1750.0, 1582.0]",1575.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",5,30,0.07386852,"[700.0, 904.0, 1050.0, 1130.0]",875.0000,1017.0000,0,0.022923,0,0,2450,1582,data\images\doc001\doc001_p004.png
Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",1,47,0.14028791,"[1701.4286, 1443.4286, 2041.7143, 1684.0]",1871.5714,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",2,23,0.11629902,"[680.5714, 721.7143, 1020.8571, 962.2857]",850.7143,842.0000,1,0.483176,1,1,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",3,46,0.11516964,"[1361.1429, 1443.4286, 1701.4286, 1684.0]",1531.2857,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",4,7,0.11062500,"[0.0, 240.5714, 340.2857, 481.1429]",170.1429,360.8571,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",5,32,0.10563827,"[1361.1429, 962.2857, 1701.4286, 1202.8571]",1531.2857,1082.5714,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",1,47,0.14028791,"[1701.4286, 1443.4286, 2041.7143, 1684.0]",1871.5714,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",2,23,0.11629902,"[680.5714, 721.7143, 1020.8571, 962.2857]",850.7143,842.0000,1,0.483176,1,1,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",3,46,0.11516964,"[1361.1429, 1443.4286, 1701.4286, 1684.0]",1531.2857,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",4,7,0.11062500,"[0.0, 240.5714, 340.2857, 481.1429]",170.1429,360.8571,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q007,doc002_p001,r1,"[695, 710, 1219, 1013]",5,32,0.10563827,"[1361.1429, 962.2857, 1701.4286, 1202.8571]",1531.2857,1082.5714,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Budgeted MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",1,11,0.09392157,"[680.5714, 240.5714, 850.7143, 481.1429]",765.6429,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p007.png
Budgeted MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",2,23,0.07764706,"[340.2857, 721.7143, 510.4286, 962.2857]",425.3571,842.0000,0,0.131751,0,0,1191,1684,data\images\doc003\doc003_p007.png
Budgeted MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",3,22,0.07414216,"[170.1429, 721.7143, 340.2857, 962.2857]",255.2143,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p007.png
Budgeted MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",4,24,0.06069688,"[510.4286, 721.7143, 680.5714, 962.2857]",595.5000,842.0000,1,0.332209,1,1,1191,1684,data\images\doc003\doc003_p007.png
Budgeted MV,q008,doc003_p007,r1,"[431, 642, 764, 1012]",5,10,0.06042885,"[510.4286, 240.5714, 680.5714, 481.1429]",595.5000,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p007.png
Budgeted MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",1,11,0.09416667,"[680.5714, 240.5714, 850.7143, 481.1429]",765.6429,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p008.png
Budgeted MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",2,30,0.08059556,"[340.2857, 962.2857, 510.4286, 1202.8571]",425.3571,1082.5714,0,0.057849,0,0,1191,1684,data\images\doc003\doc003_p008.png
Budgeted MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",3,23,0.07311275,"[340.2857, 721.7143, 510.4286, 962.2857]",425.3571,842.0000,0,0.104943,0,0,1191,1684,data\images\doc003\doc003_p008.png
Budgeted MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",4,25,0.07156863,"[680.5714, 721.7143, 850.7143, 962.2857]",765.6429,842.0000,0,0.054659,0,0,1191,1684,data\images\doc003\doc003_p008.png
Budgeted MV,q009,doc003_p008,r1,"[451, 770, 713, 1073]",5,22,0.07122549,"[170.1429, 721.7143, 340.2857, 962.2857]",255.2143,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p008.png
Budgeted MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",1,9,0.10122549,"[340.2857, 240.5714, 510.4286, 481.1429]",425.3571,360.8571,0,0.030489,0,0,1191,1684,data\images\doc003\doc003_p009.png
Budgeted MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",2,19,0.08918721,"[850.7143, 481.1429, 1020.8571, 721.7143]",935.7857,601.4286,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p009.png
Budgeted MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",3,18,0.08894313,"[680.5714, 481.1429, 850.7143, 721.7143]",765.6429,601.4286,0,0.139310,0,0,1191,1684,data\images\doc003\doc003_p009.png
Budgeted MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",4,15,0.08496461,"[170.1429, 481.1429, 340.2857, 721.7143]",255.2143,601.4286,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p009.png
Budgeted MV,q010,doc003_p009,r1,"[431, 420, 764, 790]",5,17,0.08223533,"[510.4286, 481.1429, 680.5714, 721.7143]",595.5000,601.4286,1,0.332209,1,1,1191,1684,data\images\doc003\doc003_p009.png
Budgeted MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",1,10,0.07955653,"[510.4286, 240.5714, 680.5714, 481.1429]",595.5000,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Budgeted MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",2,25,0.07899510,"[680.5714, 721.7143, 850.7143, 962.2857]",765.6429,842.0000,0,0.139310,0,0,1191,1684,data\images\doc003\doc003_p010.png
Budgeted MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",3,26,0.06291667,"[850.7143, 721.7143, 1020.8571, 962.2857]",935.7857,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Budgeted MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",4,11,0.06044118,"[680.5714, 240.5714, 850.7143, 481.1429]",765.6429,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Budgeted MV,q011,doc003_p010,r1,"[431, 642, 764, 1012]",5,45,0.05474266,"[510.4286, 1443.4286, 680.5714, 1684.0]",595.5000,1563.7143,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p010.png
Budgeted MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",1,10,0.07938597,"[510.4286, 240.5714, 680.5714, 481.1429]",595.5000,360.8571,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
Budgeted MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",2,25,0.07875000,"[680.5714, 721.7143, 850.7143, 962.2857]",765.6429,842.0000,0,0.139310,0,0,1191,1684,data\images\doc003\doc003_p011.png
Budgeted MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",3,26,0.05571079,"[850.7143, 721.7143, 1020.8571, 962.2857]",935.7857,842.0000,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
Budgeted MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",4,45,0.05299556,"[510.4286, 1443.4286, 680.5714, 1684.0]",595.5000,1563.7143,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
Budgeted MV,q012,doc003_p011,r1,"[431, 642, 764, 1012]",5,1,0.05191604,"[170.1429, 0.0, 340.2857, 240.5714]",255.2143,120.2857,0,0.000000,0,0,1191,1684,data\images\doc003\doc003_p011.png
BM25 + Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",1,9,0.10643489,"[452.0, 350.0, 678.0, 700.0]",565.0000,525.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
BM25 + Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",2,10,0.10625790,"[678.0, 350.0, 904.0, 700.0]",791.0000,525.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
BM25 + Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",3,47,0.09896334,"[1130.0, 2100.0, 1356.0, 2450.0]",1243.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
BM25 + Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",4,22,0.09557522,"[226.0, 1050.0, 452.0, 1400.0]",339.0000,1225.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
BM25 + Budgeted MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",5,3,0.09295828,"[678.0, 0.0, 904.0, 350.0]",791.0000,175.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
BM25 + Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",1,47,0.09896334,"[1130.0, 2100.0, 1356.0, 2450.0]",1243.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
BM25 + Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",2,45,0.08829330,"[678.0, 2100.0, 904.0, 2450.0]",791.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
BM25 + Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",3,46,0.08509482,"[904.0, 2100.0, 1130.0, 2450.0]",1017.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
BM25 + Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",4,43,0.08241466,"[226.0, 2100.0, 452.0, 2450.0]",339.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
BM25 + Budgeted MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",5,44,0.07025284,"[452.0, 2100.0, 678.0, 2450.0]",565.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
BM25 + Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",1,45,0.11125158,"[1050.0, 1356.0, 1400.0, 1582.0]",1225.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
BM25 + Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",2,47,0.09383059,"[1750.0, 1356.0, 2100.0, 1582.0]",1925.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
BM25 + Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",3,48,0.08605563,"[2100.0, 1356.0, 2450.0, 1582.0]",2275.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
BM25 + Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",4,46,0.08565108,"[1400.0, 1356.0, 1750.0, 1582.0]",1575.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
BM25 + Budgeted MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",5,30,0.07386852,"[700.0, 904.0, 1050.0, 1130.0]",875.0000,1017.0000,0,0.022923,0,0,2450,1582,data\images\doc001\doc001_p004.png
BM25 + Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",1,47,0.14028791,"[1701.4286, 1443.4286, 2041.7143, 1684.0]",1871.5714,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
BM25 + Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",2,23,0.11629902,"[680.5714, 721.7143, 1020.8571, 962.2857]",850.7143,842.0000,1,0.483176,1,1,2382,1684,data\images\doc002\doc002_p001.png
BM25 + Budgeted MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",3,46,0.11516964,"[1361.1429, 1443.4286, 1701.4286, 1684.0]",1531.2857,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
